name,name_kr,bre_name,country,대분류,소분류,abv,image
Hop Whoopin,,O'so Brewing Company & Tap House,US,ALE,American IPA,7,ipa.jpg
Hop Wallop,,Victory Brewing Company - Downingtown,US,ALE,American Imperial IPA,8.5,ipa.jpg
Hop Venom Double IPA,,Boneyard Beer Company,US,ALE,American Imperial IPA,8.9,ipa.jpg
Hop Trip Harvest Ale (Fresh Hop Ale),,Deschutes Brewery,US,ALE,American Pale Ale (APA),6.1,pa.jpg
Hop Ticket Session IPA,,Victory Brewing Company - Downingtown,US,ALE,American IPA,4.5,ipa.jpg
Hop Ticket #2 Hoppy Wheat,,Victory Brewing Company - Downingtown,US,ALE,American Pale Wheat Ale,5.5,pa.jpg
Hop Ticket,,Victory Brewing Company - Downingtown,US,PILSNER,German Pilsner,5.5,pil.jpg
Hop Therapy,,Rough Draft Brewing Company,US,ALE,American Imperial IPA,9,ipa.jpg
Hop Test #1 (Murren River),,Al's of Hampden / Pizza Boy Brewing,US,ALE,American IPA,7.6,ipa.jpg
Hop Tanker,,El Segundo Brewing Company,US,ALE,American Imperial IPA,9.2,ipa.jpg
Hop Syndrome Lager,,Epic Brewing Company,US,LAGER,American Lager,5,lg.jpg
Hop Sutra,,Peace Tree Brewing Co.,US,ALE,American Imperial IPA,9,ipa.jpg
Hop Suplex,,Saucony Creek Brewing Company + Gastropub,US,ALE,American Imperial IPA,10,ipa.jpg
Hop Sun (Summer Wheat Beer),,Southern Tier Brewing Company,US,ALE,American Pale Wheat Ale,5.1,pa.jpg
Hop Strike Black IPA,,Tommyknocker Brewery,US,ALE,American Black Ale,6.5,dale.jpg
Hop Stoopid,,Lagunitas Brewing Company,US,ALE,American Imperial IPA,8,ipa.jpg
Hop Stimulator,,Funky Buddha Brewery,US,ALE,American Imperial IPA,9.5,ipa.jpg
Hop Stalker Fresh Hop IPA,,Fat Head's Brewery & Saloon,US,ALE,American IPA,7.5,ipa.jpg
Hop Slinger India Pale Ale,,Henniker Brewing Co.,US,ALE,American IPA,7,ipa.jpg
Hop Slice Summer Ale,,Deschutes Brewery,US,ALE,American IPA,5,ipa.jpg
Hop Slayer,,Onion Pub & Brewery / Wild Onion Brewing Co.,US,ALE,American Imperial IPA,8,ipa.jpg
